37600500014,85
37600500502,2216
37600501150,2907
37600501202,1395
37600502001,2912
37600504004,1505
37600504255,1237
37600505500,244
37600505600,952
37600505800,608
37600506009,852
37600506511,6
37600507801,1633
37600508002,77
37600510620,166
37600510650,237
37600512001,312
37600512520,512
37600513006,611
37600513502,148
37600514004,199
37600514250,2994
37600515050,1414
37600516401,1263
37600516502,2303
37600517501,129
37600517700,321
37600518000,506
37600518500,351
37600519010,1442
37600521502,1150
37600521510,61
37600522502,1150
37600523000,3240
37600524300,54
37600525000,65
37600525251,69
37600525302,989
37600525800,1757
37600526301,1013
37600527005,367
37600527504,197
37600528505,85
37600528530,261
37600529002,452
37600531007,139
37600532000,329
37600533011,227
37600534250,667
37600534751,1137
37600535006,2217
37600536000,133
37600538005,723
37600538251,302
37600538600,183
37600539121,510
37600539130,111
37600539140,114
37600539145,1629
37600539203,884
37600539300,258
37600539340,1404
37600539350,433
37600539360,300
37600539370,572
37600539380,248
37600539602,1273
37600540007,201
37600540770,394
37600540850,45
37600541100,1440
37600541756,186
37600542008,498
37600542580,584
37600543001,302
37600543101,1125
37600545500,1007
37600547000,1325
37600547500,852
37600548501,447
